Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W,Unnamed: 12
"20 october,2010",Visakhapatnam,ODI,Australia,Andy McKay,Left,0.3,Fast,Good Length,130.7,Front foot defence,0,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,0.4,Fast,Good Length,,Square Drive,1,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.1,Fast,Short  Ball,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.2,Fast,Short Ball,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.3,Fast,Outswinger,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.4,Fast,Full Ball,,On Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.5,Fast,Short  Ball,,Font Foot Defence,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,1.6,Fast,Outswinger,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.1,Fast,Good Length,,Square Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.2,Fast,Straight Seam,,Cover Drive,2,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.3,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.4,Fast,Short Ball,140.8,Pull Shot,4,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.5,Fast,Full Ball,,On Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,3.6,Fast,Full Ball,,Square Drive,1,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,4.1,Fast,Good Length,,Font Foot Defence,1,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,4.4,Fast,Good Length,,Cover Drive,2,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,4.5,Fast,Short Ball,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,4.6,Fast,Good Length,,Square Drive,2,
,Visakhapatnam,ODI,Australia,Hastings,Right,5.2,Fast,Good Length,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,5.3,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,5.4,Fast,Full Ball,,Straight Drive,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,5.5,Fast,Full Ball,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,5.6,Fast,Full Ball,,Cover Drive,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,6.5,Fast,Good Length,,Pull Shot,1,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.1,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.2,Fast,Short Ball,,Back Foot Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.3,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.4,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.5,Fast,Good Length,,Flick,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,7.6,Fast,Short Ball,,Pull Shot,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,9.1,Fast,Full Ball,,Helicopter Shot,1,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,10.1,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,10.2,Fast,Good Length,,Flick,1,
,Visakhapatnam,ODI,Australia,Clint McKay,Right,10.4,Fast,Short Ball,,Back Foot Defence,1,
,Visakhapatnam,ODI,Australia,Hastings,Right,11.1,Fast,Good Length,,Flick,1,
,Visakhapatnam,ODI,Australia,Hastings,Right,11.5,Fast,Short Ball,,Pull Shot,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,11.6,Fast,Good Length,,Square Drive,0,
,Visakhapatnam,ODI,Australia,Mitchell Starc,Left,12.4,Fast,Full Ball,,Straight Drive,1,
,Visakhapatnam,ODI,Australia,Hastings,Right,13.1,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,13.2,Fast,Full Ball,,Straight Drive,0,
,Visakhapatnam,ODI,Australia,Hastings,Right,13.3,Fast,Good Length,,Back Foot Defence,1,
,Visakhapatnam,ODI,Australia,Hastings,Right,13.5,Fast,Full Ball,106.2,Flick,4,
,Visakhapatnam,ODI,Australia,Hastings,Right,13.6,Fast,Full Ball,,Square Drive,4,
,Visakhapatnam,ODI,Australia,Hopes,Right,15.2,Fast,Good Length,,On Drive,1,
,Visakhapatnam,ODI,Australia,Hopes,Right,15.4,Fast,Good Length,,Off Drive,1,
,Visakhapatnam,ODI,Australia,Hopes,Right,15.6,Fast,Good Length,,Flick,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,16.1,Spin,Off Spin,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Hauritz,Right,16.2,Spin,Off Spin,,Flick,0,
,Visakhapatnam,ODI,Australia,Hauritz,Right,16.3,Spin,Off Spin,,On Drive,1,
,Visakhapatnam,ODI,Australia,Smith,Right,17.1,Fast,Short Ball,136.0,Back Foot Defence,4,
,Visakhapatnam,ODI,Australia,Smith,Right,17.2,Fast,Good Length,,Straight Drive,1,
,Visakhapatnam,ODI,Australia,Smith,Right,17.5,Fast,Good Length,,Forward Defence,0,
,Visakhapatnam,ODI,Australia,Smith,Right,17.6,Fast,Good Length,,Straight Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,18.1,Spin,Off Spin,,Back Foot Defence,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,18.4,Spin,Off Spin,,Forward Defence,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,18.6,Spin,Off Spin,,On Drive,0,
,Visakhapatnam,ODI,Australia,Smith,Right,19.2,Fast,Full Toss,,On Drive,1,
,Visakhapatnam,ODI,Australia,Smith,Right,19.5,Fast,Good Length,,Square Drive,2,
,Visakhapatnam,ODI,Australia,Smith,Right,19.6,Fast,Good Length,79.9,Square Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,20.1,Spin,Off Spin,,Back Foot Defence,0,
,Visakhapatnam,ODI,Australia,Hauritz,Right,20.2,Spin,Off Spin,,On Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,20.6,Spin,Off Spin,,Square Drive,1,
,Visakhapatnam,ODI,Australia,Hopes,Right,21.1,Fast,Short Ball,,Back Foot Defence,0,
,Visakhapatnam,ODI,Australia,Hopes,Right,21.2,Fast,Short Ball,,Square Drive,0,
,Visakhapatnam,ODI,Australia,Hopes,Right,21.3,Fast,Good Length,,Straight Drive,0,
,Visakhapatnam,ODI,Australia,Hopes,Right,21.4,Fast,Good Length,,Straight Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,22.1,Spin,Off Spin,,On Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,22.3,Spin,Off Spin,,On Drive,1,
,Visakhapatnam,ODI,Australia,Hauritz,Right,22.5,Spin,Off Spin,,Straight Drive,1,
,Visakhapatnam,ODI,Australia,Hopes,Right,23.1,Fast,Short Ball,,Back Foot Defence,1,
